W,phi,lam,n_samples,frac_post_in_box,rho_true,i0_true,best_true,best_plug,best_true_control,best_plug_control,ppf,ppf_control,er_rel,regret_true,drs,drs_avg_pairs,drs_var,drs_control,drs_control_avg_pairs,drs_control_var,n_sloppy,lambda_max,gamma,cos_g_ridge,cos_g_ridge_control,g_norm,drs_control_over_drs,grad_check_relerr,entropy_u,relsd_max,relsd_max_u,pred_rmse,pred_rrmse,pred_cov90,pred_cov90_meanonly,cov90_param,marginal_pair,margin_marginal,loss_hat_0,loss_hat_1,loss_hat_2,theta_hat_R0,theta_sd_R0,u_hat_R0,u_sd_R0,relsd_R0,z_R0,theta_hat_sigma,theta_sd_sigma,u_hat_sigma,u_sd_sigma,relsd_sigma,z_sigma,theta_hat_gamma,theta_sd_gamma,u_hat_gamma,u_sd_gamma,relsd_gamma,z_gamma,theta_hat_omega,theta_sd_omega,u_hat_omega,u_sd_omega,relsd_omega,z_omega,theta_hat_rho,theta_sd_rho,u_hat_rho,u_sd_rho,relsd_rho,z_rho,theta_hat_i0,theta_sd_i0,u_hat_i0,u_sd_i0,relsd_i0,z_i0,drs_pair_01,drs_pair_02,drs_pair_12,drs_control_pair_01,drs_control_pair_02,drs_control_pair_12,drs_1em1,drs_control_1em1,n_sloppy_1em1,drs_1em2,drs_control_1em2,n_sloppy_1em2,drs_1em3,drs_control_1em3,n_sloppy_1em3,drs_1em4,drs_control_1em4,n_sloppy_1em4,drs_1em5,drs_control_1em5,n_sloppy_1em5,drs_1em6,drs_control_1em6,n_sloppy_1em6,drs_1em8,drs_control_1em8,n_sloppy_1em8,rho_level,phi_train,cell_id,drs_var_fisher,drs_geo_fisher,drs_var_fisher_control,drs_geo_fisher_control,n_sloppy_fisher,drs_var_fisher_plug,drs_geo_fisher_plug,drs_var_fisher_plug_control,drs_geo_fisher_plug_control,n_sloppy_fisher_plug,margin_snr_fisher_plug,margin_true,margin_sd_true,margin_snr_true,peak_count,margin_npe,margin_sd_npe,margin_snr_npe
6,2.0,0.009827704,2000,1.0,0.05,3.0488854020159543e-05,2,2,2,2,0.3485,0.0,0.0832080944326991,0.0,0.0559725336249157,0.0460370600793604,0.2487321310478784,0.4794416641619863,0.207487455203029,0.1844274077287175,5,1817.344792214526,0.01,0.0333374337107029,0.0787182467534698,0.1018837800069173,8.56565949604552,,-0.6555310131312665,0.6152698215151011,0.4821543987738257,5.44157335853932,0.2040590009452245,1.0,1.0,0.8333333333333334,12,0.0019428481117302,0.0564254210597484,0.0080988468760724,0.0061559987643421,1.3650513263696475,0.0841386066249545,0.311192029666001,0.0625492059340132,0.0615185862921578,-0.0853766702372822,4.0096492515265885,1.4410759398635715,1.3887037690456554,0.3552731322866721,0.3381993812718998,1.2059443770328149,1.6928187744914929,0.4269168238621577,0.5263950534116291,0.2538036904951999,0.2444125084201451,0.7263824850132949,0.0136404600532414,0.0102035264693492,-4.294714898892097,0.6336768083904267,0.6152698215151011,-0.844748102213499,0.2294226110626018,0.1493435975633619,-1.4721895130474032,0.6126770378623977,0.5486493748065769,-2.486697993158286,1.840835074100891e-05,1.2269997956887093e-05,-10.902706151685605,0.6293065771064498,0.5580515317857907,0.8017662407128798,0.0405760988425397,0.0415625477706258,0.0559725336249157,0.0642649520301786,0.078755749416922,0.4794416641619863,0.0559725336249157,0.4794416641619863,5,0.0559725336249157,0.4794416641619863,5,0.0248021335826801,0.4612180321739695,4,0.0248021335826801,0.4612180321739695,4,0.0248021335826801,0.4612180321739695,4,0.0248021335826801,0.4612180321739695,4,0.0248021335826801,0.4612180321739695,4,0.05,10.0,0,0.169075634969117,0.0004259901445097,0.2279238268144371,0.0006178131013056,2,0.2524509714733402,0.0008264886091863,0.2310471655306233,0.0087287064138811,2,0.3847740279325462,0.0170616520230855,0.0227607041362331,0.7496100261645602,50.724590623849735,0.0019428481117302852,0.005621394345657135,0.34561676201052366
10,2.0,0.009827704,2000,1.0,0.05,3.0488854020159543e-05,2,2,2,2,0.2,0.0,0.0332932100938363,0.0,0.0217128451296534,0.0158590137463529,0.5888490490606805,0.0684076697789822,0.0338961858223366,0.5164434924877448,5,8710.582935957309,0.01,0.0295206018486201,0.0418964974955333,0.1772223772276234,3.1505622303526337,,-1.6264718815267645,0.7339576217483679,0.4181948095024715,82.03993035381174,1.058579746500797,1.0,0.3,0.8333333333333334,12,0.0046362250609053,0.103358776444221,0.0107641641879937,0.0061279391270884,1.4068012655016795,0.0624812785891923,0.3413185211777632,0.0450832282191876,0.0443690949302069,-0.7866946499030747,4.124144067873138,1.441356357325255,1.41685849955839,0.3485327551553979,0.3297060479013796,1.1484857585357815,1.830906694435952,0.385717629302067,0.6048113055932484,0.216254893854022,0.2059677143365499,0.4898955179129641,0.0140125455210337,0.0100461353180643,-4.267802241987263,0.6179442922196252,0.5959805137963494,-0.9098068309522268,0.1843376142666822,0.154188433532069,-1.6909863425276963,0.7071617113846512,0.6608838789113974,-1.8450460623377771,1.1149535227362342e-05,1.077498275981446e-05,-11.404112744571568,0.7650796483241351,0.7339576217483679,1.3148478902451497,0.0127178691853748,0.0131463269240305,0.0217128451296534,0.0154387603013885,0.0178421273866391,0.0684076697789822,0.0217128451296534,0.0684076697789822,5,0.0217128451296534,0.0684076697789822,5,0.0094787730764927,0.0539778117542535,4,0.0094787730764927,0.0539778117542535,4,0.0084288346157987,0.0521736605386175,3,0.0084288346157987,0.0521736605386175,3,0.0084288346157987,0.0521736605386175,3,0.05,10.0,1,0.4701740098866608,0.0009633694701933,0.516974824862464,0.0012978969136822,3,0.508117918391479,0.0010731185426238,0.4583428706163899,0.0052974087059241,3,0.7316687163203514,0.0170616520230855,0.0177266198279991,0.9624876140310018,375.1891781513973,0.004636225060905379,0.0066764101628451564,0.6944188490255441
6,10.0,0.009827704,2000,1.0,0.05,3.0488854020159543e-05,2,2,2,2,0.248,0.0,0.0528498890160411,0.0,0.0514753970462759,0.0419573944912839,0.2303346597432267,0.1534278688547651,0.0830468159067051,0.3699917739495074,5,1829.199102742844,0.01,0.0308179771667789,0.0494819926177237,0.1473904004443467,2.9806058361596457,,-0.6952705577693089,0.6634735939142441,0.4283455709986249,4.129922298621621,0.1835521021609609,1.0,0.6666666666666666,0.8333333333333334,12,0.0036230719696833,0.0846374889557615,0.0097700676613819,0.0061469956916985,1.3876111967648768,0.0769388084557118,0.3275837052397928,0.0565559449261721,0.0553596251959547,-0.3842552455058902,4.1939230067867035,1.4240182087230384,1.4336365743681343,0.3421989226968794,0.3210940065409564,1.1207131449948475,1.7681318782472284,0.4203039906348894,0.5699235532024184,0.2441242298220551,0.2309967963685132,0.5768786478888711,0.0141125892117935,0.0100421917117641,-4.260688028052922,0.6195170932595476,0.5917255687210908,-0.9189805387745382,0.1933848719372119,0.1522844667025009,-1.643072920650067,0.6791632715844161,0.6338415675700099,-1.9916556290629683,1.4451519669833811e-05,1.230281269198973e-05,-11.144710981472995,0.74720026493092,0.6634735939142441,0.9991452538349136,0.0367521924931257,0.0376445939344502,0.0514753970462759,0.0451509052654495,0.0505616735999008,0.1534278688547651,0.0514753970462759,0.1534278688547651,5,0.0514753970462759,0.1534278688547651,5,0.0227289433217414,0.1272575600002931,4,0.0227289433217414,0.1272575600002931,4,0.0227289433217414,0.1272575600002931,4,0.0227289433217414,0.1272575600002931,4,0.0227289433217414,0.1272575600002931,4,0.05,10.0,2,0.169075634969117,0.0004259901445097,0.2279238268144371,0.0006178131013056,2,0.2156878628987446,0.0006654946314167,0.3001776670060394,0.0026916856649372,2,0.5102849868213402,0.0170616520230855,0.0227607041362331,0.7496100261645602,50.724590623849735,0.0036230719696833938,0.007362037417492924,0.4921289806371561
10,10.0,0.009827704,2000,1.0,0.05,3.0488854020159543e-05,2,2,2,2,0.166,0.0,0.0293034246473733,0.0,0.0200402026457085,0.0144896518878732,0.5918181867458935,0.0462021160772044,0.0243968366618647,0.5821101585647536,5,9631.550558290815,0.01,0.0280518529726789,0.0366024805945099,0.2059897465270944,2.3054715011626024,,-1.8066035837637544,0.7658263957419984,0.4124555923136364,16.336940829076998,0.2163833222394304,1.0,0.5,0.8333333333333334,12,0.0054454912327425,0.1241741978415407,0.0115469219095174,0.0061014306767749,1.415421812078967,0.0603805558689252,0.3474275870812661,0.0433780239219461,0.0426194157598279,-0.9584530733513368,4.293205217568852,1.4242126737023362,1.4570335909344845,0.3355793494664953,0.3144004680631557,1.073098850914461,1.8968040214023485,0.3660931067659894,0.6401703758650549,0.2022965927234274,0.1892754156459358,0.3489096479767285,0.0139147912857559,0.0103833922014238,-4.274802883343796,0.6388240211478777,0.6127014081222198,-0.8691114899768285,0.1815029615560586,0.1528519453762551,-1.7064833082970834,0.7038485836970073,0.6660654663713091,-1.8317135178209056,8.839339044434165e-06,9.011711445321631e-06,-11.63629845283921,0.7754556433751244,0.7658263957419984,1.596672975835424,0.0115221843875274,0.0119065686303836,0.0200402026457085,0.0127287071894269,0.0142596867189628,0.0462021160772044,0.0200402026457085,0.0462021160772044,5,0.0200402026457085,0.0462021160772044,5,0.0076426215653392,0.0308765078539991,4,0.0076426215653392,0.0308765078539991,4,0.0068045447039518,0.0297980579649913,3,0.0068045447039518,0.0297980579649913,3,0.0068045447039518,0.0297980579649913,3,0.05,10.0,3,0.4701740098866608,0.0009633694701933,0.516974824862464,0.0012978969136822,3,0.4852138358098759,0.0009796640479463,0.4677080207147534,0.0032838538946244,3,0.7611311820444083,0.0170616520230855,0.0177266198279991,0.9624876140310018,375.1891781513973,0.005445491232742508,0.007522023021301478,0.7239397190518457
6,50.0,0.009827704,2000,1.0,0.05,3.0488854020159543e-05,2,2,2,2,0.1745,0.0,0.0377069151653743,0.0,0.0491789333788307,0.0399463850103255,0.1755101202395886,0.0866277900263737,0.0549130115991945,0.3770287741961359,5,1891.0241379782103,0.01,0.028764305696671,0.0383677191427765,0.2074656944168047,1.7614816766982386,,-0.8333106086679428,0.7354853146091608,0.4083848177685045,3.0160347916704424,0.139201605769405,1.0,0.8333333333333334,0.8333333333333334,12,0.0057357391812865,0.1210409062502781,0.0118760222312322,0.0061402830499457,1.4057262922695462,0.0743606654683851,0.3405541032210334,0.0545248778102313,0.052821495559366,-0.6364492297340413,4.425897943127783,1.4096845615284002,1.4874731828740289,0.3326986599121919,0.3024620467501509,0.9908973557350156,1.83284168327252,0.4108397072592969,0.6058675948451271,0.2337041367988274,0.2183924872932534,0.4487982772176445,0.0139221368286667,0.0102197866447133,-4.274275128050465,0.628763905973893,0.6062244166327566,-0.8838564791427879,0.1842038460378046,0.1495816102096235,-1.6917122756948435,0.6908696094263809,0.6484412071466618,-1.8875052253953624,1.1652581630635374e-05,1.147435385876204e-05,-11.35998280330587,0.8038892829311888,0.7354853146091608,1.196474988067635,0.0348927644090778,0.0357674572430679,0.0491789333788307,0.03754762005348,0.0405636247177297,0.0866277900263737,0.0491789333788307,0.0866277900263737,5,0.0491789333788307,0.0866277900263737,5,0.0239086989895637,0.0635695413909847,4,0.0239086989895637,0.0635695413909847,4,0.0239086989895637,0.0635695413909847,4,0.0239086989895637,0.0635695413909847,4,0.0239086989895637,0.0635695413909847,4,0.05,10.0,4,0.169075634969117,0.0004259901445097,0.2279238268144371,0.0006178131013056,2,0.1906420023872014,0.0005537485288992,0.2953264136678147,0.0013452365441451,2,0.5910175566594985,0.0170616520230855,0.0227607041362331,0.7496100261645602,50.724590623849735,0.0057357391812865284,0.010009803649827396,0.5730121570751723
10,50.0,0.009827704,2000,1.0,0.05,3.0488854020159543e-05,2,2,2,2,0.086,0.0,0.0133777315487805,0.0,0.0200704274649396,0.0146991215033182,0.5991673814375417,0.0337762797541703,0.0195489390749056,0.6386223314070789,5,9819.90323413384,0.01,0.0274779574549587,0.0336044409640914,0.2833050594406843,1.6828879112402084,,-1.9135449302827747,0.750470740221452,0.4189229540909612,11.377790961748394,0.1152765041717162,1.0,0.9,0.8333333333333334,12,0.0084604701487741,0.1607269599859145,0.0146082825629658,0.0061478124141916,1.4247274686246016,0.0554475351949898,0.3539805453419848,0.0396059732252998,0.0388878574269901,-1.21518939405513,4.334659107839586,1.4089118511329168,1.4666429699638743,0.3324397753025373,0.3084579716102094,1.054327614542379,1.911281716069989,0.3594806864205978,0.6477740725354777,0.1955470632712732,0.1846622805042859,0.3220684331946797,0.0138094966459125,0.010033096168959,-4.2823987607471015,0.6201998069952545,0.6026028120727328,-0.8829628988480246,0.1831382679809216,0.15486218994687,-1.6975138486972683,0.7111275161065767,0.6662560043624796,-1.8255775447481888,9.8435350226601e-06,9.80864020135384e-06,-11.528695661144704,0.7765748424848263,0.750470740221452,1.4558111030537508,0.0117940057758613,0.0122329312691537,0.0200704274649396,0.0118191530590738,0.0130513844114728,0.0337762797541703,0.0200704274649396,0.0337762797541703,5,0.0200704274649396,0.0337762797541703,5,0.0077048901722678,0.0200517491117729,4,0.0077048901722678,0.0200517491117729,4,0.0068648193423649,0.0189657529492715,3,0.0068648193423649,0.0189657529492715,3,0.0068648193423649,0.0189657529492715,3,0.05,10.0,5,0.4701740098866608,0.0009633694701933,0.516974824862464,0.0012978969136822,3,0.4880842122007737,0.0009749199952003,0.4923183594062424,0.002190098433729,3,0.872689473254005,0.0170616520230855,0.0177266198279991,0.9624876140310018,375.1891781513973,0.008460470148774176,0.009931407283119193,0.8518903623210351
6,2.0,0.009827704,2000,1.0,0.05,2.9719175964482593e-06,0,0,2,2,0.2105,0.0,0.6163443022842826,0.0,0.049686850565009,0.0555766277067947,0.3513717465444405,0.076899004923005,0.121758421981348,0.5893211330194753,5,139.13549855770196,0.01,0.0357936111428166,0.000703264701964,0.0140277150443563,1.5476731579594143,,0.2620812358690846,0.8398539711621783,0.7176980770822945,0.7462723331747824,1.1194084997621736,1.0,0.3333333333333333,1.0,1,0.0012535508851852,0.0018270862674778,0.003080637152663,0.0059134823149823,1.2791586459078566,0.0927831954741624,0.2462025539255004,0.0712698380770715,0.0723487641755816,-1.4738577537545094,3.499693711086578,1.4247436818068688,1.252675453547926,0.370755815600078,0.3797279368731134,1.2657287046959294,1.4475364429661073,0.4162861106885585,0.3698631066359024,0.2654500404162708,0.2773549557742529,1.3580115603844864,0.014404965206914,0.0101622943410605,-4.2401823257964235,0.620394594232559,0.5870244405859659,-0.1371573218004018,0.1093884836934696,0.0888741272166007,-2.2128496624194987,0.5623432867970638,0.6818853232557602,-1.3921791715404896,2.2177323596410495e-06,2.2967117673352145e-06,-13.019025343746645,0.59656830095436,0.8398539711621783,0.4906767341689553,0.049686850565009,0.0511340723764555,0.0659089601789195,0.1700359235331568,0.1183403374878822,0.076899004923005,0.049686850565009,0.076899004923005,5,0.049686850565009,0.076899004923005,5,0.0140532460211956,0.0373926704531651,4,0.0140532460211956,0.0373926704531651,4,0.0140532460211956,0.0373926704531651,4,0.0140532460211956,0.0373926704531651,4,0.0140532460211956,0.0373926704531651,4,0.05,10.0,6,0.0527977286480651,0.0004509999132095,0.3948739572178573,0.0919245287158418,4,0.0726200302746007,0.0006073562747167,0.0603329425959426,0.0050717314556819,3,1.2194946052560711,0.0015002542561613,0.0007471158475093,2.008061080704828,0.8599509799833049,0.0012535508851852415,0.0009939086974651622,1.2612334396331009
10,2.0,0.009827704,2000,1.0,0.05,2.9719175964482593e-06,0,0,2,2,0.081,0.0,0.0864141360905321,0.0,0.0179702138998519,0.0221616804339481,0.1967871731705695,0.0670628570213167,0.1204216070251306,0.0069689425237616,5,782.7530355723966,0.01,0.0367940386881881,0.0005132907085974,0.0099128135163342,3.731889747949474,,-0.4907710250101193,0.7414787754228125,0.7305376567261549,2.4757934634186034,1.9044565103220024,0.9,0.1,1.0,1,0.001448699001477,0.0016026847183049,0.0030513837197819,0.0059106442867406,1.2741043440156403,0.0869423546359955,0.2422434564771667,0.0669959497560776,0.0680834358545089,-1.5087853277461232,3.432461845213175,1.4058648858258405,1.2332777428555066,0.3688672115411181,0.3821180530112731,1.324796494892352,1.4175387410446618,0.3989886271498746,0.3489220867892689,0.2549007236630325,0.2720962711068256,1.496367832759414,0.0140587052659434,0.0101138171565622,-4.264513483188086,0.6266426911894678,0.5958873727884904,-0.0969619600882748,0.0967450624359369,0.0738720717269797,-2.3356759826284197,0.5109801078194147,0.6568786740896474,-1.2917455705709024,1.9072914816808068e-06,1.6515140775119706e-06,-13.169826394740412,0.5073003362849646,0.7414787754228125,0.8742813771084099,0.0179702138998519,0.0189243445119022,0.0295904828900902,0.1785707363571197,0.1156312276969553,0.0670628570213167,0.0179702138998519,0.0670628570213167,5,0.0179702138998519,0.0670628570213167,5,0.0079836186986065,0.0486409178199812,4,0.0079836186986065,0.0486409178199812,4,0.0061798920316685,0.0485876111504288,3,0.0061798920316685,0.0485876111504288,3,0.0061798920316685,0.0485876111504288,3,0.05,10.0,7,0.1470068156272469,0.0006437284933372,0.0857834616340267,0.0028957448043567,3,0.1565767864827459,0.000918350577021,0.073036233917614,0.0041214188393639,3,2.706627007632533,0.0015002542561613,0.0004991125337079,3.005843682217214,2.0972472009311787,0.001448699001477017,0.0005583661265414494,2.594532391229279
6,10.0,0.009827704,2000,1.0,0.05,2.9719175964482593e-06,0,0,2,2,0.123,0.0,0.4573087633913544,0.0,0.0138968169195743,0.0208969646826896,0.0698515350627614,0.0288611871280381,0.0771042038647841,0.0085471218080225,4,79.36351966300239,0.01,0.0378605100040905,0.0003971987587658,0.0073863388987479,2.076819986552871,,-0.0421764122766762,0.811966991095352,0.7663599250869556,0.5092902308711659,1.5278706926134975,1.0,0.6666666666666666,1.0,1,0.0015694183079768,0.0014645781613516,0.0030339964693284,0.0059094311752203,1.260609860983662,0.0882411621155549,0.2315956205188096,0.0682946512299239,0.0698333425774694,-1.3241837892629076,3.4008605074043,1.3824960667930746,1.2240284900131695,0.3628840636758983,0.3799300160139535,1.3721276066215875,1.3988023307479946,0.3966183038329711,0.3356163924539045,0.2572029533789285,0.2739455873189381,1.5347060855490209,0.0137178243780352,0.0099609051797138,-4.2890592422879275,0.6185120822923473,0.602649912208205,-0.058551393820248,0.0943060930340812,0.0726855429852168,-2.361209478131228,0.5070121419229513,0.6636977718730813,-1.2514942798336155,1.8790177134842057e-06,1.822469730984001e-06,-13.18476141049691,0.5362019849728458,0.811966991095352,0.8550103603113135,0.0138968169195743,0.0158556745165209,0.0329384026119737,0.1330465767522256,0.0694048477140885,0.0288611871280381,0.0493354723541941,0.065493178187661,5,0.0138968169195743,0.0288611871280381,4,0.0138968169195743,0.0288611871280381,4,0.0138968169195743,0.0288611871280381,4,0.0138968169195743,0.0288611871280381,4,0.0138968169195743,0.0288611871280381,4,0.0138968169195743,0.0288611871280381,4,0.05,10.0,8,0.0527977286480651,0.0004509999132095,0.3948739572178573,0.0919245287158418,4,0.0889980691087603,0.0006857291293479,0.0848475179478043,0.0121975367159382,3,2.762056541856055,0.0015002542561613,0.0007471158475093,2.008061080704828,0.8599509799833049,0.0015694183079768109,0.0005313662718415201,2.9535527396908052
10,10.0,0.009827704,2000,1.0,0.05,2.9719175964482593e-06,0,0,2,2,0.0055,0.0,0.0063746031579431,0.0,0.1780692852472299,0.1889230398335119,0.2584112018196857,0.1260876141161642,0.1453041355612749,0.1046143749722142,5,83.55731973977164,0.01,0.0434631998310108,0.0001412742245653,0.0021251391176279,0.7080817668308443,,-1.4246274175620175,0.6696770508136345,0.8854996389045628,0.5260568864381087,2.630284432190543,1.0,0.4,0.8333333333333334,1,0.0018348332071453,0.0011538623528306,0.0029886955599759,0.0059050500543182,1.2133888963059571,0.0667972064278692,0.1934171855907979,0.0527964066694467,0.0549713887264425,-0.9897687820155822,3.1394432554811895,1.3174838190255047,1.1440454770277917,0.3573556464896359,0.3921791087886083,1.6171739846144133,1.3023606302546733,0.3509258246231756,0.2641784871964329,0.233929955018795,0.2616489451359807,1.992771054018457,0.0144400035533549,0.010193668915735,-4.237752899440276,0.6240632017572579,0.5864876743750688,-0.1402439482316648,0.0789473336937703,0.055655019350779,-2.5389743109372818,0.4424611778104127,0.6254271568342264,-1.0323119530555114,1.5850087179341355e-06,1.1811742312295028e-06,-13.354920650376254,0.4092926671117939,0.6696770508136345,1.5358630700288576,0.1780692852472299,0.1821789689479288,0.2065208653053769,0.1838242207342963,0.1260005718333642,0.1260876141161642,0.1780692852472299,0.1260876141161642,5,0.1780692852472299,0.1260876141161642,5,0.1779321285641424,0.1167657872202888,4,0.1779321285641424,0.1167657872202888,4,0.1779321285641424,0.1167657872202888,4,0.1779321285641424,0.1167657872202888,4,0.1779321285641424,0.1167657872202888,4,0.05,10.0,9,0.1470068156272469,0.0006437284933372,0.0857834616340267,0.0028957448043567,3,0.1686779706767556,0.0009363550512664,0.0958319559325672,0.0138392060217472,3,13.145233906570068,0.0015002542561613,0.0004991125337079,3.005843682217214,2.0972472009311787,0.0018348332071453505,0.00012211135368677957,15.025901783480101
