W,phi,n_samples,frac_post_in_box,rho_true,i0_true,best_true,best_plug,best_true_control,best_plug_control,ppf,ppf_control,er_rel,regret_true,drs,drs_avg_pairs,drs_var,drs_control,drs_control_avg_pairs,drs_control_var,n_sloppy,lambda_max,gamma,cos_g_ridge,cos_g_ridge_control,g_norm,drs_control_over_drs,grad_check_relerr,entropy_u,relsd_max,relsd_max_u,pred_rmse,pred_rrmse,pred_cov90,pred_cov90_meanonly,cov90_param,marginal_pair,theta_hat_R0,theta_sd_R0,u_hat_R0,u_sd_R0,relsd_R0,z_R0,theta_hat_sigma,theta_sd_sigma,u_hat_sigma,u_sd_sigma,relsd_sigma,z_sigma,theta_hat_gamma,theta_sd_gamma,u_hat_gamma,u_sd_gamma,relsd_gamma,z_gamma,theta_hat_omega,theta_sd_omega,u_hat_omega,u_sd_omega,relsd_omega,z_omega,theta_hat_rho,theta_sd_rho,u_hat_rho,u_sd_rho,relsd_rho,z_rho,theta_hat_i0,theta_sd_i0,u_hat_i0,u_sd_i0,relsd_i0,z_i0,drs_pair_01,drs_pair_02,drs_pair_12,drs_control_pair_01,drs_control_pair_02,drs_control_pair_12,drs_1em1,drs_control_1em1,n_sloppy_1em1,drs_1em2,drs_control_1em2,n_sloppy_1em2,drs_1em3,drs_control_1em3,n_sloppy_1em3,drs_1em4,drs_control_1em4,n_sloppy_1em4,drs_1em5,drs_control_1em5,n_sloppy_1em5,drs_1em6,drs_control_1em6,n_sloppy_1em6,drs_1em8,drs_control_1em8,n_sloppy_1em8,rho_level,phi_train,cell_id
6,2.0,2000,0.001,0.05000000000000001,3.0488854020159546e-05,2,2,2,2,0.0005,0.0,2.4745886023991677e-09,0.0,0.05060385835975127,0.04296221742747277,0.4562158792113971,0.050367956057747736,0.03822601207335454,0.4902290451756827,5,2932.681166104992,0.01,0.021976470475235647,0.024387738879056462,0.5733141326147919,0.9953382546380858,nan,7.652816731030042,44.71000709869026,2.7474163984539053,803.4366033791216,30.128872626717058,1.0,1.0,1.0,12,1.3620374749989022,0.22092847979981148,0.30898172203228047,0.1565002987525446,0.16020703020884317,-0.019999548370578567,5.849825377845926,2072.7530037705205,1.7664118108573794,1.6462334836705987,11.645761139309577,0.03081676741692046,2.4322865699839302,125.2263430408929,0.8888317902147546,1.3317336879303308,8.16394471750955,-0.13371906336050657,0.003711827583078576,8.165393467201852e+33,-5.5962309136610395,15.37517658172702,44.71000709869026,0.04983479242606247,0.29532631533688863,8.141142155348021,-1.2196743802951553,1.8735150901505189,4.419206478473304,-0.9479816322782575,1.5070832578594988e-05,0.0013530410745333074,-11.102749299433572,2.1056456029974218,7.722904079337583,0.3346241719534788,0.03837047787716691,0.039912316045500135,0.05060385835975127,0.030671017250318802,0.033639062911997086,0.050367956057747736,0.05060385835975127,0.050367956057747736,5,0.05060385835975127,0.050367956057747736,5,0.03982707101264377,0.040158597046811885,4,0.03982707101264377,0.040158597046811885,4,0.03982707101264377,0.040158597046811885,4,0.03982707101264377,0.040158597046811885,4,0.03982707101264377,0.040158597046811885,4,0.05000000000000001,10.0,0
10,2.0,2000,0.0005,0.05000000000000001,3.0488854020159546e-05,2,2,2,2,0.0,0.0,0.0,0.0,0.11239077794145325,0.11248190923573613,0.5310841481048557,0.11029650338311071,0.10962456104470773,0.5665155789109856,4,735.8630080062239,0.01,0.015687125546165474,0.01692705268591851,2.2624256261171984,0.9813661352230031,nan,7.320252730215047,44.710177812194885,2.860242355993456,4793375611.851293,61850007.89485539,1.0,1.0,1.0,12,1.363010984047843,0.19572624637115368,0.3096962114110827,0.1362513244227515,0.142237044466668,-0.02821568663645089,5.172979666562947,158816.04991101223,1.6434488603279669,1.6427349673402374,26.85165794692685,0.10573497756054102,4.037286653036536,91.03213522030563,1.3955728457994414,1.3402128246124134,6.268502277736101,-0.5109779763362674,2.5283144385270916e-05,1.931208810774801e+67,-10.585372614091703,30.276731104798262,44.710177812194885,0.190091870023015,0.1512126429390947,6.312785840224231,-1.889068201410383,2.084126114915328,4.016963050940962,-0.5309966917182305,1.235855028942114e-05,0.0014902017776678848,-11.301162403313706,2.2787338289020087,7.453246874021823,0.39627841073730824,0.09819003520388955,0.12686491456186555,0.11239077794145325,0.11277319472958712,0.10580398502142534,0.11029650338311071,0.12916257027567218,0.12676673507093003,5,0.11239077794145325,0.11029650338311071,4,0.11239077794145325,0.11029650338311071,4,0.11239077794145325,0.11029650338311071,4,0.11239077794145325,0.11029650338311071,4,0.11239077794145325,0.11029650338311071,4,0.11239077794145325,0.11029650338311071,4,0.05000000000000001,10.0,1
6,10.0,2000,0.0025,0.05000000000000001,3.0488854020159546e-05,2,2,2,2,0.0005,0.0005,0.09957116630115503,0.0,0.047295941423357045,0.05205109178667844,0.39461196112103,0.04463452560593031,0.10747984720524623,0.434674602810403,5,2781.7934774408086,0.01,0.018637816294413325,0.020082616173639996,1.517518167812968,0.9437284524351935,nan,7.596694883964099,44.71017706606446,2.707264726953689,663565710501985.0,29491809355643.777,1.0,1.0,1.0,12,1.389480330859739,0.24369761091544814,0.3289298145476858,0.1687959834099186,0.17287670792057855,-0.1367214275133085,6.002639184418774,119658.24962943133,1.7921992365860098,1.5740412025940451,40.37294513708863,0.015847214552252395,2.805737775849399,182.92483711024477,1.0316665260837086,1.3817297572768406,9.517756596004485,-0.23225447347757566,0.005276251790600468,2.540809799753619e+36,-5.244539321497717,14.198356314212402,44.71017706606446,0.0291954316490961,0.23560468547336375,10.411212537423555,-1.445599939994292,2.0078979936590247,5.313580882358773,-0.7720174722296863,1.1240350346415703e-05,0.011108675663223426,-11.396000544374553,2.2237736570161686,27.28668974667816,0.44871975082679094,0.05750566422123621,0.051351669715442055,0.047295941423357045,0.24276047088967354,0.03504454512013484,0.04463452560593031,0.047295941423357045,0.04463452560593031,5,0.047295941423357045,0.04463452560593031,5,0.03532615568591685,0.03270884188962878,4,0.03532615568591685,0.03270884188962878,4,0.03532615568591685,0.03270884188962878,4,0.03532615568591685,0.03270884188962878,4,0.03532615568591685,0.03270884188962878,4,0.05000000000000001,10.0,2
10,10.0,2000,0.0,0.05000000000000001,3.0488854020159546e-05,2,2,2,2,0.0,0.0,0.0,0.0,0.1537347759816692,0.15520267824070774,0.6057974875106591,0.15098576327058721,0.15173663606970425,0.6363766009099697,4,641.6120427580859,0.01,0.01447999126109701,0.015592942449468915,2.8130582871189618,0.9821184719363055,nan,7.49705826398578,43.90492523087939,2.9427843176385013,461175608558.85284,6108286206.077521,1.0,1.0,1.0,12,1.3693765656687318,0.19870523435786944,0.31435557471243125,0.13737116127289672,0.14370647445196338,-0.0619037350799486,5.093332345678747,9706010.93817431,1.6279323011590052,1.7577131793556182,43.90492523087939,0.1076461770332535,4.545523714669508,54.701528673233085,1.5141429497412864,1.3316277386663558,3.9135058628493558,-0.6033137622432038,8.827443158418967e-06,4.89647546654565e+60,-11.637645148312835,34.2470796366968,39.943223453238836,0.1987799555563164,0.15346521985665718,13.95748021466022,-1.8742813183665685,2.088799643418619,6.305741856147374,-0.5368877569090387,8.879946855477717e-06,0.0009858480235276407,-11.631714985721604,2.3225735714084452,7.482274484273607,0.5311201409522948,0.1312748948859752,0.18059836385447875,0.1537347759816692,0.15024582602831324,0.15397831891021235,0.15098576327058721,0.16893210062373445,0.16593029117207342,5,0.1537347759816692,0.15098576327058721,4,0.1537347759816692,0.15098576327058721,4,0.1537347759816692,0.15098576327058721,4,0.1537347759816692,0.15098576327058721,4,0.1537347759816692,0.15098576327058721,4,0.1537347759816692,0.15098576327058721,4,0.05000000000000001,10.0,3
6,50.0,2000,0.0025,0.05000000000000001,3.0488854020159546e-05,2,2,2,2,0.0,0.0,0.0,0.0,0.048866102943216735,0.050963145060162446,0.384335456714933,0.04528883599112547,0.04510996780689839,0.4288940113359609,5,2622.4253608173044,0.01,0.017039569765705136,0.01834083942719175,3.2055133554378057,0.9267945111921835,nan,7.567978869371127,44.71017781221642,2.7019964183594016,204158443.78783882,9422697.40559256,1.0,1.0,1.0,12,1.4408794010635855,0.26492372240291356,0.36525362237253595,0.1743636821382385,0.1810310583792946,-0.3406778000253069,5.623253978538003,125411.92816310254,1.7269104960897819,1.4756165432568897,37.26357032221269,0.06114929353439248,2.9508508820566526,107.91899811737498,1.082093563357943,1.3212127917055823,7.8088470394136325,-0.2810599147011698,0.004553586488660717,3.533704823921501e+56,-5.391840117250603,14.568732685177666,44.71017781221642,0.038563953996190364,0.2177376696078841,6.051410569441411,-1.5244642912230806,2.0435705839740916,3.4785788935673922,-0.7199496772309985,8.419321610208317e-06,0.002008288240148602,-11.684981301814753,2.2820144138552183,12.054489758004348,0.5639017487789275,0.027793714766525392,0.0762296174707452,0.048866102943216735,0.045629018602795265,0.04441204882677444,0.04528883599112547,0.048866102943216735,0.04528883599112547,5,0.048866102943216735,0.04528883599112547,5,0.03678449555508097,0.03310363924988917,4,0.03678449555508097,0.03310363924988917,4,0.03678449555508097,0.03310363924988917,4,0.03678449555508097,0.03310363924988917,4,0.03678449555508097,0.03310363924988917,4,0.05000000000000001,10.0,4
10,50.0,2000,0.0005,0.05000000000000001,3.0488854020159546e-05,2,2,2,2,0.0,0.0,0.0,0.0,0.09371414477124865,0.09652522950866367,0.6033057026470706,0.09079488937890544,0.09173516150917745,0.6374447051244939,4,900.1227839943958,0.01,0.014806693303936132,0.016000742066656286,3.0060422497025905,0.9688493620736874,nan,7.351522272815455,44.71017776214947,2.605066379143639,53.202454926498135,0.5390319648074785,1.0,1.0,1.0,12,1.3790431317938558,0.19294614666269977,0.32138987591003393,0.1325031484923822,0.13865621933460762,-0.11726581103511119,5.013451710328854,162347.6618307868,1.6121246420074322,1.6956861321611727,26.988111774743963,0.12090608004729735,4.304626679150971,134.6801270486196,1.4596904161522197,1.2806828456681523,7.518709714517752,-0.5847949083306493,2.7134210166861493e-06,8.079852754713789e+55,-12.81730035140808,33.38991821683914,44.71017776214947,0.23921257067300422,0.15895314447761996,8.593414034332035,-1.8391458090111883,2.0616301478673433,4.994908264275964,-0.561005797154856,1.0348633760601053e-05,0.001681163885249035,-11.478656050772827,2.298330886892864,10.01688811112048,0.4701266792487386,0.074036305468259,0.1218252382864834,0.09371414477124865,0.08999919609015716,0.09441139905846975,0.09079488937890544,0.10786845851937377,0.10469171014611955,5,0.09371414477124865,0.09079488937890544,4,0.09371414477124865,0.09079488937890544,4,0.09371414477124865,0.09079488937890544,4,0.09371414477124865,0.09079488937890544,4,0.09371414477124865,0.09079488937890544,4,0.09371414477124865,0.09079488937890544,4,0.05000000000000001,10.0,5
6,2.0,2000,0.0,0.05000000000000001,2.9719175964482593e-06,2,2,2,2,0.0345,0.0005,0.0005048093990510788,0.0,0.035246082637805126,0.0272865849649036,0.5300077669235873,0.01472321106590696,0.024729802604395307,0.8143082116582936,5,1193.0425986140494,0.01,0.03992594411058546,0.0004746313934444443,0.0002324393840065499,0.41772616881158786,nan,11.161477061247442,44.7022250811207,3.442594536289239,610.179977197396,915.2699657960941,1.0,1.0,1.0,12,1.1032742695997,0.34505184058137106,0.09828236720310453,0.283563048920436,0.3001290488412958,0.15121357816866635,27.208026665467628,6232833898448444.0,3.303512027764236,5.100017337951122,44.663093906956256,-0.3101088077111744,3.282412177375765,1152186951121.5557,1.1885785720389592,4.091794098051786,41.90774036632129,-0.11198785443075158,0.04669247615712058,3.4103452673747864e+16,-3.0641722374128135,7.052109398464149,44.7022250811207,-0.17882617499703635,0.20258341496161314,25.88210451702809,-1.5966035515172965,2.6239706536937266,5.9773368553832045,-0.5332105067818348,1.1622561776681426e-06,0.004360802175088995,-13.665147461123642,2.8519534636914528,22.367633979967824,0.32919341600434276,0.02325303019015978,0.02336064206674589,0.035246082637805126,0.03254842129939306,0.0269177754478859,0.01472321106590696,0.035246082637805126,0.01472321106590696,5,0.035246082637805126,0.01472321106590696,5,0.03144398522156801,0.002040509841874118,4,0.03144398522156801,0.002040509841874118,4,0.03144044134973159,0.001954121488752776,3,0.03144044134973159,0.001954121488752776,3,0.03144044134973159,0.001954121488752776,3,0.05000000000000001,10.0,6
10,2.0,2000,0.0,0.05000000000000001,2.9719175964482593e-06,2,2,2,2,0.0095,0.0005,9.573170523503276e-05,0.0,0.28239059617777446,0.2663466987513678,0.3131372888540428,0.28550605887874103,0.26550809379025136,0.3733472906661982,5,203.56515224881866,0.01,0.014388017600367878,0.01621030943910348,0.011374818567716844,1.0110324590943718,nan,9.486199806922354,37.89188491547192,1.7874979725872102,294371.31612001924,226439.47393847632,0.8,1.0,1.0,12,1.2360774944177568,0.26568629599502624,0.21194305481907144,0.19453567551762585,0.2107273059800231,-0.36385153604320775,20.46679357845318,4021565041.87072,3.0188037473673828,3.8903719178096754,31.343856719576312,-0.33334910979709875,3.7249526856821302,791.9112637162156,1.3150541499205533,2.249139155796713,9.66770089658211,-0.2599691611734469,0.0013494999693312224,9.181095058896067e+30,-6.608021148232245,11.811824405278546,37.89188491547192,0.1932594900760045,0.14659979263459502,20.507300979464553,-1.920048904028574,2.51043535375623,5.798161303711051,-0.42848479165812,4.97385082513315e-07,6.9092729585808e-05,-14.51390129695303,2.2919367897135627,10.506620700870116,0.779950889941778,0.25829827968350383,0.258351220392825,0.28239059617777446,0.2554766994009381,0.255541523091075,0.28550605887874103,0.28239059617777446,0.28550605887874103,5,0.28239059617777446,0.28550605887874103,5,0.28239059617777446,0.28550605887874103,5,0.28238843655613793,0.2855051172583902,4,0.28238843655613793,0.2855051172583902,4,0.28238843655613793,0.2855051172583902,4,0.28238843655613793,0.2855051172583902,4,0.05000000000000001,10.0,7
6,10.0,2000,0.0005,0.05000000000000001,2.9719175964482593e-06,2,2,2,2,0.0515,0.0005,0.0003768186585079598,0.0,0.048336741611248374,0.03858261155829253,0.5492744348019662,0.01954151835395096,0.017915930680406037,0.763239745302666,5,428.8583659508393,0.01,0.0466979325776371,9.201331123174207e-05,0.00010057208205475985,0.404278768128704,nan,11.360218815122119,44.69269680064844,3.6742314377496235,232.6705467760229,698.0116403280687,1.0,1.0,1.0,12,1.088881876850599,0.3471736259278458,0.08515136869257137,0.2877013486814437,0.30558684560827437,0.1946795940683103,32.359981859140724,7.201519414481755e+16,3.476922531594977,5.711850231634916,43.72595753812108,-0.30725084318374224,2.6453599371161296,203786159846.8629,0.9728071381374289,3.574318569811782,44.69269680064844,-0.06783385509044572,0.03823332992427653,39808948465.988014,-3.2640476326794454,6.570214735109308,36.00692129417945,-0.16152080212089254,0.17082161458559664,21.96712643328925,-1.76713545653833,2.687714993617665,5.5654814234018435,-0.45711573583252935,7.458720342200855e-07,0.0007715433977623174,-14.108711787354624,2.9694788789753495,11.833470294551962,0.46553913517175904,0.03353228269354338,0.03387881037008583,0.048336741611248374,0.018251766826033033,0.015954506861234126,0.01954151835395096,0.048336741611248374,0.01954151835395096,5,0.048336741611248374,0.01954151835395096,5,0.043429603600182644,0.005351869040205379,4,0.04275025560873497,0.005219618378554293,3,0.04195529003455762,0.005090559521818788,2,0.04195529003455762,0.005090559521818788,2,0.04195529003455762,0.005090559521818788,2,0.05000000000000001,10.0,8
10,10.0,2000,0.0,0.05000000000000001,2.9719175964482593e-06,2,2,2,2,0.013,0.0005,3.8069531491125765e-08,0.0,0.04002875196168129,0.0312588590209055,0.684338631419759,0.01666738085321941,0.02166340899272902,0.8722171476143402,5,456.22541411673734,0.01,0.059639209409150136,3.2859327624463886e-05,7.77310859758279e-05,0.41638522403033584,nan,9.755907062085182,44.24227115608199,5.010887615893553,63897657.26423088,319488286.32115436,1.0,1.0,1.0,12,1.070518303115268,0.2557151883341597,0.06814292662704834,0.2154596662492024,0.23315008693815018,0.33889416571953035,22.915908619114024,13927885451.900457,3.1318313688928066,4.727701470778754,33.5848673160895,-0.2982167224011869,1.7060822078855586,19973.091513802025,0.534199635414696,2.6768143375143514,37.58018653069829,0.07327654072309366,0.028023810132503994,903134544.0863122,-3.5747007682846106,4.288979218902088,44.24227115608199,-0.17500043255241812,0.12475813504305476,18.74651839099307,-2.0813783357106685,2.164556231393613,10.701433401280092,-0.4224209676708796,1.0018021491281793e-06,1.5906341974769113e-05,-13.813710030758497,1.9136526138525911,3.4724469409506757,0.5682362957421407,0.026367568353960577,0.027380256747074627,0.04002875196168129,0.029855336282555645,0.018467509842412005,0.01666738085321941,0.04002875196168129,0.01666738085321941,5,0.04002875196168129,0.01666738085321941,5,0.03871997203415997,0.0022816802831462073,4,0.03718131464917158,0.0021658720122558163,2,0.03718131464917158,0.0021658720122558163,2,0.03718131464917158,0.0021658720122558163,2,0.03718131464917158,0.0021658720122558163,2,0.05000000000000001,10.0,9
