W,phi,lam,n_samples,frac_post_in_box,rho_true,i0_true,best_true,best_plug,best_true_control,best_plug_control,ppf,ppf_control,er_rel,regret_true,drs,drs_avg_pairs,drs_var,drs_control,drs_control_avg_pairs,drs_control_var,n_sloppy,lambda_max,gamma,cos_g_ridge,cos_g_ridge_control,g_norm,drs_control_over_drs,grad_check_relerr,entropy_u,relsd_max,relsd_max_u,pred_rmse,pred_rrmse,pred_cov90,pred_cov90_meanonly,cov90_param,marginal_pair,margin_marginal,loss_hat_0,loss_hat_1,loss_hat_2,theta_hat_R0,theta_sd_R0,u_hat_R0,u_sd_R0,relsd_R0,z_R0,theta_hat_sigma,theta_sd_sigma,u_hat_sigma,u_sd_sigma,relsd_sigma,z_sigma,theta_hat_gamma,theta_sd_gamma,u_hat_gamma,u_sd_gamma,relsd_gamma,z_gamma,theta_hat_omega,theta_sd_omega,u_hat_omega,u_sd_omega,relsd_omega,z_omega,theta_hat_rho,theta_sd_rho,u_hat_rho,u_sd_rho,relsd_rho,z_rho,theta_hat_i0,theta_sd_i0,u_hat_i0,u_sd_i0,relsd_i0,z_i0,drs_pair_01,drs_pair_02,drs_pair_12,drs_control_pair_01,drs_control_pair_02,drs_control_pair_12,drs_1em1,drs_control_1em1,n_sloppy_1em1,drs_1em2,drs_control_1em2,n_sloppy_1em2,drs_1em3,drs_control_1em3,n_sloppy_1em3,drs_1em4,drs_control_1em4,n_sloppy_1em4,drs_1em5,drs_control_1em5,n_sloppy_1em5,drs_1em6,drs_control_1em6,n_sloppy_1em6,drs_1em8,drs_control_1em8,n_sloppy_1em8,rho_level,phi_train,cell_id,drs_var_fisher,drs_geo_fisher,drs_var_fisher_control,drs_geo_fisher_control,n_sloppy_fisher,drs_var_fisher_plug,drs_geo_fisher_plug,drs_var_fisher_plug_control,drs_geo_fisher_plug_control,n_sloppy_fisher_plug,margin_snr_fisher_plug,margin_true,margin_sd_true,margin_snr_true,peak_count,margin_npe,margin_sd_npe,margin_snr_npe
6,2.0,0.009827704,2000,0.001,0.05,3.0488854020159543e-05,2,2,2,2,0.475,0.0045,0.1993059268646338,0.0,0.0506038583597861,0.0429622174273962,0.456215879208124,0.0503679560577477,0.0382260120734494,0.4902290451756827,5,2932.681166104992,0.01,0.0219764704750284,0.0243877388790564,0.5733141326146145,0.9953382546374004,,7.652816731030042,44.71000709869026,2.7474163984539053,803.4366033791216,30.128872626717055,1.0,1.0,1.0,12,0.0163029059484453,0.2861369327093809,0.0224463577683601,0.0061434518199148,1.3620374749989022,0.2209284797998114,0.3089817220322804,0.1565002987525446,0.1602070302088431,-0.0199995483705785,5.849825377845926,2072.7530037705205,1.7664118108573794,1.6462334836705987,11.645761139309576,0.0308167674169204,2.4322865699839302,125.2263430408929,0.8888317902147546,1.3317336879303308,8.16394471750955,-0.1337190633605065,0.0037118275830785,8.165393467201852e+33,-5.5962309136610395,15.37517658172702,44.71000709869026,0.0498347924260624,0.2953263153368886,8.141142155348021,-1.2196743802951553,1.8735150901505189,4.419206478473304,-0.9479816322782576,1.5070832578594988e-05,0.0013530410745333,-11.102749299433572,2.1056456029974218,7.722904079337583,0.3346241719534788,0.0383704778770849,0.0399123160453177,0.0506038583597861,0.0306710172506034,0.033639062911997,0.0503679560577477,0.0506038583597861,0.0503679560577477,5,0.0506038583597861,0.0503679560577477,5,0.0398270710126305,0.0401585970468118,4,0.0398270710126305,0.0401585970468118,4,0.0398270710126305,0.0401585970468118,4,0.0398270710126305,0.0401585970468118,4,0.0398270710126305,0.0401585970468118,4,0.05,10.0,0,0.169075634969117,0.0004259901445097,0.2279238268144371,0.0006178131013056,2,0.203934799098024,0.0004597492535571,0.248260290226358,0.000585359067234,3,0.7402182560091258,0.0170616520230855,0.0227607041362331,0.7496100261645602,50.724590623849735,0.016302905948445322,0.07150238572390043,0.22800506281563
10,2.0,0.009827704,2000,0.0005,0.05,3.0488854020159543e-05,2,2,2,2,0.3785,0.021,0.1666403903481255,0.0,0.1123907779414622,0.1124819092362498,0.531084148104719,0.1102965033831107,0.1096245610447702,0.5665155789109856,4,735.8630080062239,0.01,0.0156871255461606,0.0169270526859185,2.262425626117888,0.9813661352229244,,7.320252730215047,44.710177812194885,2.860242355993456,4793375611.851293,61850007.89485539,1.0,1.0,1.0,12,0.0653527381228434,0.4061535703593423,0.0714746948349117,0.0061219567120682,1.363010984047843,0.1957262463711536,0.3096962114110827,0.1362513244227515,0.142237044466668,-0.0282156866364508,5.172979666562947,158816.04991101223,1.6434488603279669,1.6427349673402374,26.85165794692685,0.105734977560541,4.037286653036536,91.03213522030563,1.3955728457994414,1.3402128246124134,6.268502277736101,-0.5109779763362674,2.5283144385270916e-05,1.931208810774801e+67,-10.585372614091703,30.276731104798262,44.710177812194885,0.190091870023015,0.1512126429390947,6.312785840224231,-1.889068201410383,2.084126114915328,4.016963050940962,-0.5309966917182305,1.235855028942114e-05,0.0014902017776678,-11.301162403313706,2.2787338289020087,7.453246874021823,0.3962784107373082,0.0981900352052621,0.1268649145620251,0.1123907779414622,0.1127731947297746,0.1058039850214253,0.1102965033831107,0.1291625702756823,0.12676673507093,5,0.1123907779414622,0.1102965033831107,4,0.1123907779414622,0.1102965033831107,4,0.1123907779414622,0.1102965033831107,4,0.1123907779414622,0.1102965033831107,4,0.1123907779414622,0.1102965033831107,4,0.1123907779414622,0.1102965033831107,4,0.05,10.0,1,0.4701740098866608,0.0009633694701933,0.516974824862464,0.0012978969136822,3,0.4646704572218659,0.001554189105527,0.501070869634876,0.0014103884074691,3,0.9574426955774124,0.0170616520230855,0.0177266198279991,0.9624876140310018,375.1891781513973,0.06535273812284348,0.24002823011071217,0.27227104950405107
6,10.0,0.009827704,2000,0.0025,0.05,3.0488854020159543e-05,2,2,2,2,0.439,0.0115,0.1121041952872869,0.0,0.0472959414232933,0.0520510917866586,0.3946119611247223,0.0446345256059303,0.1074798471999173,0.434674602810403,5,2781.7934774408086,0.01,0.0186378162944128,0.0200826161736399,1.5175181678130094,0.9437284524364636,,7.596694883964099,44.71017706606446,2.707264726953689,663565710501985.0,29491809355643.777,1.0,1.0,1.0,12,0.0450757606329572,0.4038108138868237,0.0512320280560228,0.0061562674230656,1.389480330859739,0.2436976109154481,0.3289298145476858,0.1687959834099186,0.1728767079205785,-0.1367214275133085,6.002639184418774,119658.24962943132,1.7921992365860098,1.5740412025940451,40.37294513708863,0.0158472145522523,2.805737775849399,182.92483711024477,1.0316665260837086,1.3817297572768406,9.517756596004483,-0.2322544734775756,0.0052762517906004,2.540809799753619e+36,-5.244539321497717,14.198356314212402,44.71017706606446,0.0291954316490961,0.2356046854733637,10.411212537423555,-1.445599939994292,2.0078979936590247,5.313580882358773,-0.7720174722296863,1.1240350346415704e-05,0.0111086756632234,-11.396000544374552,2.2237736570161686,27.28668974667816,0.4487197508267909,0.0575056642212599,0.0513516697154226,0.0472959414232933,0.2427604708736867,0.0350445451201348,0.0446345256059303,0.0472959414232933,0.0446345256059303,5,0.0472959414232933,0.0446345256059303,5,0.0353261556858449,0.0327088418896287,4,0.0353261556858449,0.0327088418896287,4,0.0353261556858449,0.0327088418896287,4,0.0353261556858449,0.0327088418896287,4,0.0353261556858449,0.0327088418896287,4,0.05,10.0,2,0.169075634969117,0.0004259901445097,0.2279238268144371,0.0006178131013056,2,0.1659305359611498,0.0003575988891631,0.193208771029347,0.0003708238752181,3,0.8249077693163844,0.0170616520230855,0.0227607041362331,0.7496100261645602,50.724590623849735,0.045075760632957255,0.18719780502578617,0.2407921429781089
10,10.0,0.009827704,2000,0.0,0.05,3.0488854020159543e-05,2,2,2,2,0.3845,0.026,0.1646733351203713,0.0,0.1537347759818501,0.15520267824081,0.6057974875204216,0.1509857632705872,0.1517366360692953,0.6363766009099697,4,641.6120427580859,0.01,0.014479991261268,0.0155929424494689,2.813058287119615,0.98211847193515,,7.49705826398578,43.90492523087939,2.9427843176385013,461175608558.8528,6108286206.077521,1.0,1.0,1.0,12,0.081808736248598,0.4176934112220314,0.0878831330791363,0.0060743968305382,1.3693765656687318,0.1987052343578694,0.3143555747124312,0.1373711612728967,0.1437064744519633,-0.0619037350799486,5.093332345678747,9706010.93817431,1.6279323011590052,1.7577131793556182,43.90492523087939,0.1076461770332535,4.545523714669508,54.701528673233085,1.5141429497412864,1.3316277386663558,3.913505862849356,-0.6033137622432038,8.827443158418967e-06,4.89647546654565e+60,-11.637645148312837,34.2470796366968,39.94322345323883,0.1987799555563164,0.1534652198566571,13.95748021466022,-1.8742813183665683,2.088799643418619,6.305741856147374,-0.5368877569090387,8.879946855477717e-06,0.0009858480235276,-11.631714985721604,2.3225735714084452,7.482274484273607,0.5311201409522948,0.1312748948864641,0.1805983638541157,0.1537347759818501,0.1502458260270863,0.1539783189102123,0.1509857632705872,0.1689321006238599,0.1659302911720734,5,0.1537347759818501,0.1509857632705872,4,0.1537347759818501,0.1509857632705872,4,0.1537347759818501,0.1509857632705872,4,0.1537347759818501,0.1509857632705872,4,0.1537347759818501,0.1509857632705872,4,0.1537347759818501,0.1509857632705872,4,0.05,10.0,3,0.4701740098866608,0.0009633694701933,0.516974824862464,0.0012978969136822,3,0.4624855449818375,0.0016769659227002,0.4931616511816235,0.0014916074476249,3,0.972926894472002,0.0170616520230855,0.0177266198279991,0.9624876140310018,375.1891781513973,0.08180873624859804,0.33091142497636816,0.2472224591654409
6,50.0,0.009827704,2000,0.0025,0.05,3.0488854020159543e-05,2,2,2,2,0.38,0.0195,0.0957689975032562,0.0,0.0488661029432104,0.0509631450600817,0.3843354567171258,0.0452888359911254,0.0451099678068311,0.4288940113359609,5,2622.4253608173044,0.01,0.0170395697658583,0.0183408394271917,3.205513355437773,0.9267945111923028,,7.567978869371127,44.71017781221642,2.7019964183594016,204158443.7878388,9422697.40559256,1.0,1.0,1.0,12,0.1164116050412498,0.475939680832121,0.1226965654484346,0.0062849604071848,1.4408794010635857,0.2649237224029135,0.3652536223725359,0.1743636821382385,0.1810310583792946,-0.3406778000253069,5.623253978538003,125411.92816310254,1.726910496089782,1.4756165432568895,37.26357032221269,0.0611492935343924,2.9508508820566526,107.91899811737498,1.082093563357943,1.3212127917055825,7.808847039413632,-0.2810599147011698,0.0045535864886607,3.533704823921501e+56,-5.391840117250603,14.568732685177666,44.71017781221642,0.0385639539961903,0.2177376696078841,6.051410569441411,-1.5244642912230806,2.0435705839740916,3.478578893567392,-0.7199496772309985,8.419321610208317e-06,0.0020082882401486,-11.684981301814751,2.2820144138552183,12.054489758004348,0.5639017487789275,0.0277937147662656,0.076229617470769,0.0488661029432104,0.0456290186025935,0.0444120488267744,0.0452888359911254,0.0488661029432104,0.0452888359911254,5,0.0488661029432104,0.0452888359911254,5,0.0367844955551157,0.0331036392498891,4,0.0367844955551157,0.0331036392498891,4,0.0367844955551157,0.0331036392498891,4,0.0367844955551157,0.0331036392498891,4,0.0367844955551157,0.0331036392498891,4,0.05,10.0,4,0.169075634969117,0.0004259901445097,0.2279238268144371,0.0006178131013056,2,0.1345558487213422,0.000261005796941,0.1585108510891351,0.000264071358982,3,1.029617763609051,0.0170616520230855,0.0227607041362331,0.7496100261645602,50.724590623849735,0.1164116050412498,0.39964218693413767,0.2912895806478879
10,50.0,0.009827704,2000,0.0005,0.05,3.0488854020159543e-05,2,2,2,2,0.3535,0.0295,0.1398907444071784,0.0,0.0937141447711676,0.0965252295089112,0.603305702656275,0.0907948893789054,0.0917351615089753,0.6374447051244939,4,900.1227839943958,0.01,0.0148066933039361,0.0160007420666562,3.006042249702582,0.9688493620745248,,7.351522272815455,44.71017776214947,2.605066379143639,53.202454926498135,0.5390319648074785,1.0,1.0,1.0,12,0.0946114496421145,0.426368942479694,0.1007389036174329,0.0061274539753184,1.3790431317938558,0.1929461466626997,0.3213898759100339,0.1325031484923822,0.1386562193346076,-0.1172658110351111,5.013451710328854,162347.6618307868,1.6121246420074322,1.6956861321611727,26.988111774743963,0.1209060800472973,4.304626679150971,134.6801270486196,1.4596904161522195,1.2806828456681525,7.518709714517752,-0.5847949083306493,2.7134210166861493e-06,8.079852754713789e+55,-12.81730035140808,33.38991821683914,44.71017776214947,0.2392125706730042,0.1589531444776199,8.593414034332035,-1.8391458090111883,2.0616301478673433,4.994908264275964,-0.561005797154856,1.0348633760601051e-05,0.001681163885249,-11.478656050772829,2.298330886892864,10.01688811112048,0.4701266792487386,0.0740363054690329,0.1218252382865332,0.0937141447711676,0.0899991960895507,0.0944113990584697,0.0907948893789054,0.1078684585192916,0.1046917101461195,5,0.0937141447711676,0.0907948893789054,4,0.0937141447711676,0.0907948893789054,4,0.0937141447711676,0.0907948893789054,4,0.0937141447711676,0.0907948893789054,4,0.0937141447711676,0.0907948893789054,4,0.0937141447711676,0.0907948893789054,4,0.05,10.0,5,0.4701740098866608,0.0009633694701933,0.516974824862464,0.0012978969136822,3,0.4594964053299438,0.0016062998238083,0.494242102003899,0.0014282538226389,3,1.047077234157041,0.0170616520230855,0.0177266198279991,0.9624876140310018,375.1891781513973,0.09461144964211451,0.34906688482355297,0.2710410347000945
6,2.0,0.009827704,2000,0.0,0.05,2.9719175964482593e-06,0,0,2,1,0.4805,0.996,1.0632888660155209,0.0,0.0232530301901151,0.0272865849656058,0.3891429969299174,0.0147232110659069,0.0247298026043953,0.8143082116582936,5,1193.0425986140494,0.01,0.0155716335031621,0.0004746313934444,0.0169675242017765,0.6331738679015603,,11.161477061247442,44.7022250811207,3.442594536289239,610.179977197396,915.269965796094,1.0,1.0,1.0,1,0.0015907832373605,0.0013745961210119,0.0029653793583725,0.0059005642391707,1.1032742695997,0.345051840581371,0.0982823672031045,0.283563048920436,0.3001290488412958,0.1512135781686663,27.208026665467628,6232833898448444.0,3.303512027764236,5.100017337951122,44.663093906956256,-0.3101088077111744,3.282412177375765,1152186951121.5557,1.1885785720389592,4.091794098051786,41.90774036632129,-0.1119878544307515,0.0466924761571205,3.4103452673747864e+16,-3.0641722374128135,7.052109398464149,44.7022250811207,-0.1788261749970363,0.2025834149616131,25.88210451702809,-1.5966035515172965,2.6239706536937266,5.9773368553832045,-0.5332105067818348,1.1622561776681426e-06,0.0043608021750889,-13.665147461123642,2.8519534636914528,22.367633979967824,0.3291934160043427,0.0232530301901151,0.0233606420668527,0.0352460826398496,0.032548421299393,0.0269177754478859,0.0147232110659069,0.0232530301901151,0.0147232110659069,5,0.0232530301901151,0.0147232110659069,5,0.0149420901485964,0.0020405098418741,4,0.0149420901485964,0.0020405098418741,4,0.0149182317883259,0.0019541214887527,3,0.0149182317883259,0.0019541214887527,3,0.0149182317883259,0.0019541214887527,3,0.05,10.0,6,0.0527977286480651,0.0004509999132095,0.3948739572178573,0.0919245287158418,4,0.0277069667542687,0.0001411602446363,0.069768283027297,0.0005203971660732,3,2.4200761544867073,0.0015002542561613,0.0007471158475093,2.008061080704828,0.8599509799833049,0.0015907832373605471,0.004836613736188502,0.32890433764805155
10,2.0,0.009827704,2000,0.0,0.05,2.9719175964482593e-06,0,1,2,1,0.9175,0.992,1.1402163326161985,0.0015002542561613,0.2823905961767926,0.2663466987510506,0.3131372888033359,0.285506058878741,0.2655080937902513,0.3733472906661982,5,203.56515224881863,0.01,0.0143880176001817,0.0162103094391034,0.0113748185676641,1.0110324590978872,,9.486199806922354,37.89188491547192,1.7874979725872102,294371.31612001924,226439.47393847632,0.8,1.0,1.0,12,0.0027163782663764,0.0996013126330949,0.0031834374221167,0.0058998156884931,1.2360774944177568,0.2656862959950262,0.2119430548190714,0.1945356755176258,0.2107273059800231,-0.3638515360432077,20.46679357845318,4021565041.87072,3.0188037473673828,3.8903719178096754,31.343856719576312,-0.3333491097970987,3.7249526856821302,791.9112637162156,1.3150541499205533,2.249139155796713,9.66770089658211,-0.2599691611734469,0.0013494999693312,9.181095058896068e+30,-6.608021148232245,11.811824405278546,37.89188491547192,0.1932594900760045,0.146599792634595,20.507300979464553,-1.920048904028574,2.51043535375623,5.798161303711051,-0.42848479165812,4.97385082513315e-07,6.9092729585808e-05,-14.51390129695303,2.2919367897135627,10.506620700870116,0.779950889941778,0.25829827968346,0.2583512203928993,0.2823905961767926,0.2554766994009381,0.255541523091075,0.285506058878741,0.2823905961767926,0.285506058878741,5,0.2823905961767926,0.285506058878741,5,0.2823905961767926,0.285506058878741,5,0.2823884365551543,0.2855051172583902,4,0.2823884365551543,0.2855051172583902,4,0.2823884365551543,0.2855051172583902,4,0.2823884365551543,0.2855051172583902,4,0.05,10.0,7,0.1470068156272469,0.0006437284933372,0.0857834616340267,0.0028957448043567,3,0.1688166209744537,0.0002155339033632,0.1880116028517335,0.0002846630747643,2,7.680926731028189,0.0015002542561613,0.0004991125337079,3.005843682217214,2.0972472009311787,0.002716378266376463,0.001695782984209481,1.6018430964754318
6,10.0,0.009827704,2000,0.0005,0.05,2.9719175964482593e-06,0,0,2,2,0.466,0.0065,0.6887203338527096,0.0,0.0335322826928437,0.0385826115754303,0.3592153320940524,0.0195415183539509,0.017915930680406,0.763239745302666,5,428.8583659508393,0.01,0.0201961447952832,9.201331123174208e-05,0.0031021977803497,0.5827673150960706,,11.36021881512212,44.69269680064844,3.674231437749623,232.6705467760229,698.0116403280687,1.0,1.0,1.0,1,0.0018768693561522,0.0010804750484478,0.0029573444046001,0.0058990132721591,1.088881876850599,0.3471736259278458,0.0851513686925713,0.2877013486814437,0.3055868456082743,0.1946795940683103,32.359981859140724,7.201519414481755e+16,3.476922531594977,5.711850231634916,43.72595753812108,-0.3072508431837422,2.6453599371161296,203786159846.8629,0.9728071381374288,3.574318569811782,44.69269680064844,-0.0678338550904457,0.0382333299242765,39808948465.988014,-3.2640476326794454,6.570214735109308,36.00692129417945,-0.1615208021208925,0.1708216145855966,21.96712643328925,-1.76713545653833,2.687714993617665,5.5654814234018435,-0.4571157358325293,7.458720342200855e-07,0.0007715433977623,-14.108711787354624,2.9694788789753495,11.833470294551962,0.465539135171759,0.0335322826928437,0.0338788103710495,0.0483367416623977,0.018251766826033,0.0159545068612341,0.0195415183539509,0.0335322826928437,0.0195415183539509,5,0.0335322826928437,0.0195415183539509,5,0.0239266981726831,0.0053518690402053,4,0.0239115875971844,0.0052196183785542,3,0.0235474627942302,0.0050905595218187,2,0.0235474627942302,0.0050905595218187,2,0.0235474627942302,0.0050905595218187,2,0.05,10.0,8,0.0527977286480651,0.0004509999132095,0.3948739572178573,0.0919245287158418,4,0.0979954267770308,0.0039761648524225,0.2535449180693249,0.0196316948392571,4,11.754065787879808,0.0015002542561613,0.0007471158475093,2.008061080704828,0.8599509799833049,0.0018768693561522734,0.0008710395574939789,2.1547464061817276
10,10.0,0.009827704,2000,0.0,0.05,2.9719175964482593e-06,0,0,2,2,0.3395,0.0015,0.0,0.0,0.026367568354329,0.0312588590387712,0.486479296943318,0.0166673808532194,0.021663408992729,0.8722171476143402,5,456.22541411673734,0.01,0.0333883695960089,3.2859327624463886e-05,0.0007038285775796,0.632116721164504,,9.755907062085182,44.24227115608199,5.010887615893553,63897657.26423088,319488286.32115436,1.0,1.0,1.0,1,0.0019322976049749,0.0010255643113557,0.0029578619163307,0.0058996166707764,1.070518303115268,0.2557151883341597,0.0681429266270483,0.2154596662492024,0.2331500869381501,0.3388941657195303,22.915908619114024,13927885451.900455,3.1318313688928066,4.727701470778754,33.5848673160895,-0.2982167224011869,1.7060822078855586,19973.091513802025,0.534199635414696,2.6768143375143514,37.58018653069829,0.0732765407230936,0.0280238101325039,903134544.0863122,-3.5747007682846106,4.288979218902088,44.24227115608199,-0.1750004325524181,0.1247581350430547,18.74651839099307,-2.0813783357106685,2.164556231393613,10.701433401280092,-0.4224209676708796,1.0018021491281791e-06,1.5906341974769113e-05,-13.813710030758497,1.9136526138525911,3.4724469409506757,0.5682362957421407,0.026367568354329,0.0273802567509039,0.0400287520110807,0.0298553362825556,0.018467509842412,0.0166673808532194,0.026367568354329,0.0166673808532194,5,0.026367568354329,0.0166673808532194,5,0.0212856458822291,0.0022816802831462,4,0.0208085631398634,0.0021658720122558,2,0.0208085631398634,0.0021658720122558,2,0.0208085631398634,0.0021658720122558,2,0.0208085631398634,0.0021658720122558,2,0.05,10.0,9,0.1470068156272469,0.0006437284933372,0.0857834616340267,0.0028957448043567,3,0.1858117368579601,0.0018736579376842,0.3706565072404818,0.041028073752015,4,54.06290755475429,0.0015002542561613,0.0004991125337079,3.005843682217214,2.0972472009311787,0.0019322976049749457,0.00013389380190487903,14.431568731969314
