cell_id,W,phi,rho_level,ppf_flow,ppf_boxw,ess_frac,frac_in_box
0,6,2.0,0.05000000000000001,0.3485,0.3485,1.0,1.0
1,10,2.0,0.05000000000000001,0.2,0.2,1.0,1.0
2,6,10.0,0.05000000000000001,0.248,0.248,1.0,1.0
3,10,10.0,0.05000000000000001,0.166,0.166,1.0,1.0
4,6,50.0,0.05000000000000001,0.1745,0.1745,1.0,1.0
5,10,50.0,0.05000000000000001,0.086,0.086,1.0,1.0
6,6,2.0,0.05000000000000001,0.2105,0.2105,1.0,1.0
7,10,2.0,0.05000000000000001,0.081,0.081,1.0,1.0
8,6,10.0,0.05000000000000001,0.123,0.123,1.0,1.0
9,10,10.0,0.05000000000000001,0.0055,0.0055,1.0,1.0
10,6,50.0,0.05000000000000001,0.082,0.082,1.0,1.0
11,10,50.0,0.05000000000000001,0.012,0.012,1.0,1.0
12,6,2.0,0.05000000000000001,0.1915,0.1915,1.0,1.0
13,10,2.0,0.05000000000000001,0.243,0.243,1.0,1.0
14,6,10.0,0.05000000000000001,0.49,0.49,1.0,1.0
15,10,10.0,0.05000000000000001,0.339,0.339,1.0,1.0
16,6,50.0,0.05000000000000001,0.481,0.481,1.0,1.0
17,10,50.0,0.05000000000000001,0.465,0.465,1.0,1.0
18,6,2.0,0.05000000000000001,0.193,0.193,1.0,1.0
19,10,2.0,0.05000000000000001,0.081,0.081,1.0,1.0
20,6,10.0,0.05000000000000001,0.114,0.114,1.0,1.0
21,10,10.0,0.05000000000000001,0.021,0.021,1.0,1.0
22,6,50.0,0.05000000000000001,0.085,0.085,1.0,1.0
23,10,50.0,0.05000000000000001,0.0705,0.0705,1.0,1.0
24,6,2.0,0.05000000000000001,0.213,0.213,1.0,1.0
25,10,2.0,0.05000000000000001,0.002,0.002,1.0,1.0
26,6,10.0,0.05000000000000001,0.213,0.213,1.0,1.0
27,10,10.0,0.05000000000000001,0.1535,0.1535,1.0,1.0
28,6,50.0,0.05000000000000001,0.2965,0.2965,1.0,1.0
29,10,50.0,0.05000000000000001,0.01,0.01,1.0,1.0
30,6,2.0,0.05000000000000001,0.1095,0.1095,1.0,1.0
31,10,2.0,0.05000000000000001,0.0185,0.0185,1.0,1.0
32,6,10.0,0.05000000000000001,0.098,0.098,1.0,1.0
33,10,10.0,0.05000000000000001,0.0295,0.0295,1.0,1.0
34,6,50.0,0.05000000000000001,0.1945,0.1945,1.0,1.0
35,10,50.0,0.05000000000000001,0.0235,0.0235,1.0,1.0
36,6,2.0,0.05000000000000001,0.4565,0.4565,1.0,1.0
37,10,2.0,0.05000000000000001,0.266,0.266,1.0,1.0
38,6,10.0,0.05000000000000001,0.3575,0.3575,1.0,1.0
39,10,10.0,0.05000000000000001,0.319,0.319,1.0,1.0
40,6,50.0,0.05000000000000001,0.373,0.373,1.0,1.0
41,10,50.0,0.05000000000000001,0.2965,0.2965,1.0,1.0
42,6,2.0,0.05000000000000001,0.429,0.429,1.0,1.0
43,10,2.0,0.05000000000000001,0.2235,0.2235,1.0,1.0
44,6,10.0,0.05000000000000001,0.347,0.347,1.0,1.0
45,10,10.0,0.05000000000000001,0.179,0.179,1.0,1.0
46,6,50.0,0.05000000000000001,0.5495,0.5495,1.0,1.0
47,10,50.0,0.05000000000000001,0.1325,0.1325,1.0,1.0
48,6,2.0,0.1144714242553332,0.4515,0.4515,1.0,1.0
49,10,2.0,0.1144714242553332,0.1425,0.1425,1.0,1.0
50,6,10.0,0.1144714242553332,0.3485,0.3485,1.0,1.0
51,10,10.0,0.1144714242553332,0.272,0.272,1.0,1.0
52,6,50.0,0.1144714242553332,0.526,0.526,1.0,1.0
53,10,50.0,0.1144714242553332,0.208,0.208,1.0,1.0
54,6,2.0,0.1144714242553332,0.281,0.281,1.0,1.0
55,10,2.0,0.1144714242553332,0.406,0.406,1.0,1.0
56,6,10.0,0.1144714242553332,0.463,0.463,1.0,1.0
57,10,10.0,0.1144714242553332,0.4935,0.4935,1.0,1.0
58,6,50.0,0.1144714242553332,0.4985,0.4985,1.0,1.0
59,10,50.0,0.1144714242553332,0.2725,0.2725,1.0,1.0
60,6,2.0,0.1144714242553332,0.292,0.292,1.0,1.0
61,10,2.0,0.1144714242553332,0.285,0.285,1.0,1.0
62,6,10.0,0.1144714242553332,0.458,0.458,1.0,1.0
63,10,10.0,0.1144714242553332,0.154,0.154,1.0,1.0
64,6,50.0,0.1144714242553332,0.328,0.328,1.0,1.0
65,10,50.0,0.1144714242553332,0.137,0.137,1.0,1.0
66,6,2.0,0.1144714242553332,0.42,0.42,1.0,1.0
67,10,2.0,0.1144714242553332,0.1585,0.1585,1.0,1.0
68,6,10.0,0.1144714242553332,0.437,0.437,1.0,1.0
69,10,10.0,0.1144714242553332,0.3295,0.3295,1.0,1.0
