k,dLL
1.000000000000000000e+00,0.000000000000000000e+00
1.089464658061619851e+00,2.432116187975452704e-03
1.186933241165322173e+00,5.075952652500603790e-03
1.293121817728147827e+00,7.949357255700562064e-03
1.408810518983216964e+00,1.107157115196244490e-02
1.534849270337663496e+00,1.446331568790881761e-02
1.672164035484549283e+00,1.814688010292186959e-02
1.821763619142112933e+00,2.214620882096696164e-02
1.984747078397760767e+00,2.648698678573424559e-02
2.162311797105415323e+00,3.119672087685998463e-02
2.355762282656058026e+00,3.630481494897352945e-02
2.566519749748343404e+00,4.184263543364608040e-02
2.796132561567973074e+00,4.784356372578812966e-02
3.046287605083612515e+00,5.434303071258739237e-02
3.318822684029769210e+00,6.137852777199626075e-02
3.615740020623639417e+00,6.898958733823334910e-02
3.939220965208447556e+00,7.721772466704734939e-02
4.291642021889985337e+00,8.610633069607231960e-02
4.675592307901251132e+00,9.570050383200268129e-02
5.093892574963176934e+00,1.060468060585897376e-01
5.549615932384881489e+00,1.171929258763988457e-01
6.046110424149011564e+00,1.291872271889467072e-01
6.587023625848299702e+00,1.420781592548046035e-01
7.176329442178627893e+00,1.559134981292196187e-01
7.818357301860674013e+00,1.707393845224949303e-01
8.517823964475207177e+00,1.865991165686580189e-01
9.279868172886050814e+00,2.035316484942093496e-01
1.011008840583020962e+01,2.215697374384255625e-01
1.101458400803056037e+01,2.407376705274835160e-01
1.200000000000000000e+01,2.610484925465819117e-01
